ID;Time;X;Y;Speed;Type;Frame
0;9.95;18.039806365966797;14.10388469696045;6.578956127166748;2;71461
0;10.0;17.711273193359375;14.102432250976562;6.658954620361328;2;71464
0;10.05;17.382726669311523;14.100978374481201;6.6583967208862305;2;71467
0;10.1;17.05415153503418;14.099524021148682;6.658425807952881;2;71470
0;10.15;16.72557258605957;14.09810495376587;6.658228874206543;2;71473
0;10.2;16.396968841552734;14.096580505371094;6.658424377441406;2;71476
0;10.25;16.068355560302734;14.09515905380249;6.658412933349609;2;71479
0;10.3;15.739728927612305;14.093750476837158;6.658411502838135;2;71482
0;10.35;15.41108512878418;14.092332363128662;6.658407211303711;2;71485
0;10.4;15.082433700561523;14.090904235839844;6.658405303955078;2;71488
0;10.45;14.753768920898438;14.089468479156494;6.658405780792236;2;71491
0;10.5;14.425092697143555;14.088025093078613;6.658402919769287;2;71494
0;10.55;14.096403121948242;14.086577892303467;6.6584038734436035;2;71497
0;10.6;13.767704010009766;14.085127353668213;6.658400535583496;2;71500
0;10.65;13.438995361328125;14.08367395401001;6.658400058746338;2;71503
0;10.7;13.110275268554688;14.082218647003174;6.658398628234863;2;71506
0;10.75;12.781545639038086;14.080762386322021;6.658395767211914;2;71509
0;10.8;12.45280647277832;14.079305171966553;6.658398151397705;2;71512
0;10.85;12.124059677124023;14.077845573425293;6.658398151397705;2;71515
0;10.9;11.79530143737793;14.076388835906982;6.658394813537598;2;71518
0;10.95;11.466537475585938;14.07492733001709;6.658398151397705;2;71521
0;11.0;11.131977081298828;14.073443412780762;7.004081726074219;2;71524
0;11.05;10.785394668579102;14.072725772857666;7.000448703765869;2;71527
0;11.1;10.438556671142578;14.075195789337158;7.0482683181762695;2;71530
0;11.15;10.09011459350586;14.081256866455078;7.0445733070373535;2;71533
0;11.2;9.742008209228516;14.08863878250122;7.037153720855713;2;71536
0;11.25;9.393611907958984;14.096710205078125;7.070213794708252;2;71539
0;11.3;9.04891586303711;14.106464862823486;6.39114236831665;2;71542
0;11.35;8.747875213623047;14.129573345184326;6.000674724578857;2;71545
0;11.4;8.442770004272461;14.149889945983887;6.019070625305176;2;71548
0;11.45;8.15438461303711;14.183393478393555;6.05537748336792;2;71551
0;11.5;7.837642669677734;14.193054676055908;6.197568893432617;2;71554
0;11.55;7.566844940185547;14.229218482971191;7.136593818664551;2;71557
0;11.6;7.281698226928711;14.256189346313477;7.195102214813232;2;71560
0;11.65;6.939662933349609;14.248061180114746;6.283608436584473;2;71563
0;11.7;6.615734100341797;14.255073547363281;6.694090843200684;2;71566
0;11.75;6.259105682373047;14.245601654052734;7.360434055328369;2;71569
0;11.8;5.897972106933594;14.241146564483643;7.366170406341553;2;71572
0;11.85;5.532827377319336;14.23674201965332;7.392974376678467;2;71575
0;11.9;5.165998458862305;14.234068870544434;7.402339458465576;2;71578
0;11.95;4.798271179199219;14.232564449310303;7.4112396240234375;2;71581
0;12.0;4.429780006408691;14.231270790100098;7.422330856323242;2;71584
0;12.05;4.0599470138549805;14.230244159698486;7.46884298324585;2;71587
0;12.1;3.687533378601074;14.229357719421387;7.51987361907959;2;71590
0;12.15;3.312809944152832;14.229248046875;7.549600124359131;2;71593
0;12.2;2.935910224914551;14.229729652404785;7.616812229156494;2;71596
0;12.25;2.556121826171875;14.229413986206055;7.64971923828125;2;71599
0;12.3;2.1741247177124023;14.228167057037354;7.715501308441162;2;71602
0;12.35;1.7884998321533203;14.225932121276855;7.797336101531982;2;71605
0;12.4;1.3990259170532227;14.223103523254395;7.861639499664307;2;71608
0;12.45;1.006545066833496;14.22023057937622;7.912484645843506;2;71611
0;12.5;0.6113815307617188;14.217331886291504;7.971041202545166;2;71614
0;12.55;0.21334362030029297;14.214310646057129;8.024735450744629;2;71617
0;12.6;-0.18747901916503906;14.211326599121094;8.083565711975098;2;71620
0;12.65;-0.5908050537109375;14.208792686462402;8.114556312561035;2;71623
0;12.7;-0.9958553314208984;14.207491874694824;8.156536102294922;2;71626
0;12.75;-1.403275489807129;14.207010269165039;8.213626861572266;2;71629
0;12.8;-1.8132171630859375;14.20631456375122;8.249157905578613;2;71632
0;12.85;-2.224947929382324;14.20568037033081;8.285943031311035;2;71635
0;12.9;-2.6387929916381836;14.205392360687256;8.338666915893555;2;71638
0;12.95;-3.055208683013916;14.204488277435303;8.38608169555664;2;71641
0;13.0;-3.473978042602539;14.202765941619873;8.432731628417969;2;71644
0;13.049999999999999;-3.89506196975708;14.200363159179688;8.477079391479492;2;71647
0;13.1;-4.317744255065918;14.197795391082764;8.483647346496582;2;71650
0;13.15;-4.740780353546143;14.1954026222229;8.493165016174316;2;71653
0;13.2;-5.164381980895996;14.192950248718262;8.507834434509277;2;71656
0;13.25;-5.588719367980957;14.190348625183105;8.52238941192627;2;71659
0;13.299999999999999;-6.013702392578125;14.187482833862305;8.531862258911133;2;71662
0;13.35;-6.43896484375;14.184160232543945;8.52989673614502;2;71665
0;13.4;-6.863858699798584;14.180525779724121;8.512397766113281;2;71668
0;13.45;-7.287572622299194;14.176707744598389;8.477591514587402;2;71671
0;13.5;-7.709428071975708;14.172574520111084;8.437204360961914;2;71674
0;13.549999999999999;-8.129194974899292;14.167812824249268;8.394023895263672;2;71677
0;13.6;-8.546881675720215;14.16245698928833;8.356904029846191;2;71680
0;13.65;-8.962819814682007;14.156139850616455;8.32739543914795;2;71683
0;13.7;-9.377482771873474;14.148781776428223;8.311151504516602;2;71686
0;13.75;-9.791587352752686;14.140592575073242;8.31078815460205;2;71689
