ID;Time;X;Y;VX;VY;Type;Estimated
1;"1970-01-01 00:00:00.600Z";-2.80746326939569;3.20028102058917;1.02890328012044;0.0927621674620392;0;0
1;"1970-01-01 00:00:00.650Z";-2.75162813788538;3.20527003603731;1.05280292990468;0.0946725588697429;4;0
1;"1970-01-01 00:00:00.700Z";-2.73334110208835;3.20894194446682;0.894314225329435;0.0897742964715667;4;0
1;"1970-01-01 00:00:00.750Z";-2.75884151856842;3.20107829461317;0.613199003178345;0.0403207328563126;4;0
1;"1970-01-01 00:00:00.800Z";-2.7808445322451;3.19784588995447;0.426938238258548;0.0217578070303322;4;0
1;"1970-01-01 00:00:00.850Z";-2.78510454291389;3.1973966085014;0.345800449128418;0.0168871428051013;4;0
1;"1970-01-01 00:00:00.900Z";-2.79527319964624;3.19523378700903;0.266964277119414;0.00825328061843334;4;0
1;"1970-01-01 00:00:00.950Z";-2.71239867154304;3.20403365594818;0.449557901477119;0.0302801945862618;4;0
1;"1970-01-01 00:00:01.000Z";-2.65962298838262;3.21068559130351;0.522933419797862;0.0427232796994502;4;0
1;"1970-01-01 00:00:01.050Z";-2.62384646389278;3.21440783915493;0.544591281423341;0.0462904352024981;4;0
1;"1970-01-01 00:00:01.100Z";-2.65096217493966;3.21132843062391;0.430377675404981;0.0349543948967913;4;0
1;"1970-01-01 00:00:01.150Z";-2.83279219145224;3.1908190966148;0.0287693847375748;-0.00900265282259933;4;0
1;"1970-01-01 00:00:01.200Z";-2.97130907624249;3.17372031944483;-0.232415333533099;-0.0400723575943812;4;0
1;"1970-01-01 00:00:01.250Z";-3.02245298640664;3.16032621317614;-0.30244316914556;-0.0602542353010626;4;0
1;"1970-01-01 00:00:01.300Z";-3.04165278739509;3.15129366847431;-0.309332013854101;-0.0704242524018265;4;0
1;"1970-01-01 00:00:01.350Z";-3.05930436086285;3.14488970083903;-0.31286618392117;-0.0750870777704933;4;0
1;"1970-01-01 00:00:01.400Z";-3.11437587544675;3.13028820362079;-0.374161669486863;-0.0919501561392753;4;0
1;"1970-01-01 00:00:01.450Z";-3.13308395892109;3.12569069581383;-0.374161669486863;-0.0919501561392753;4;1
1;"1970-01-01 00:00:01.500Z";-3.1838090557154;3.10492867461374;-0.420322949890514;-0.115255722710131;4;0
1;"1970-01-01 00:00:01.550Z";-3.26109659098053;3.07842538590091;-0.498728207414005;-0.144154324826905;4;0
1;"1970-01-01 00:00:01.600Z";-3.37451618410122;3.04438292161139;-0.618434539300542;-0.18045827724036;4;0
1;"1970-01-01 00:00:01.650Z";-3.29159477519493;3.01983048126669;-0.46824968412867;-0.200945236492138;4;0
1;"1970-01-01 00:00:01.700Z";-3.35619396622848;2.98070449441891;-0.5214532262308;-0.238508112726468;4;0
1;"1970-01-01 00:00:01.750Z";-3.34424540823075;2.9469535175932;-0.473192783966836;-0.266211372574495;4;0
1;"1970-01-01 00:00:01.800Z";-3.44376005412171;2.89469840559747;-0.568097580765901;-0.314936224576093;4;0
1;"1970-01-01 00:00:01.850Z";-3.46807796814567;2.84995112719995;-0.563043512676941;-0.350799104529311;4;0
1;"1970-01-01 00:00:01.900Z";-3.46183439116982;2.80559654636224;-0.520901161375464;-0.383652910211367;4;0
1;"1970-01-01 00:00:01.950Z";-3.58084124298668;2.74936220447337;-0.634007358181562;-0.428733542733583;4;0
1;"1970-01-01 00:00:02.000Z";-3.59994592361569;2.70220424163103;-0.618761275493502;-0.459867123616651;4;0
1;"1970-01-01 00:00:02.050Z";-3.69900413164472;2.64638188039736;-0.700909506971;-0.49945665672432;4;0
1;"1970-01-01 00:00:02.100Z";-3.75205569562171;2.59627851341662;-0.722570346421018;-0.529688012163607;4;0
1;"1970-01-01 00:00:02.150Z";-3.78818421294276;2.56979411280844;-0.722570346421018;-0.529688012163607;4;1
1;"1970-01-01 00:00:02.200Z";-3.82431273026381;2.54330971220026;-0.722570346421018;-0.529688012163607;4;1
1;"1970-01-01 00:00:02.250Z";-3.86558325700809;2.47793737671526;-0.728617647449673;-0.575422476888744;4;0
1;"1970-01-01 00:00:02.300Z";-3.90196559779807;2.41664968152115;-0.728561072522096;-0.613320348663414;4;0
1;"1970-01-01 00:00:02.350Z";-3.93095157175346;2.35359166588997;-0.719936501896613;-0.650859193787356;4;0
1;"1970-01-01 00:00:02.400Z";-3.96527490657883;2.29584225965023;-0.71800250904486;-0.679989382552825;4;0
1;"1970-01-01 00:00:02.450Z";-3.97412150496311;2.23578982022796;-0.686757055333604;-0.710079243861365;4;0
1;"1970-01-01 00:00:02.500Z";-4.00678117126703;2.17890021148142;-0.684816575479624;-0.734807375819337;4;0
1;"1970-01-01 00:00:02.550Z";-3.99208943232906;2.12899889409577;-0.62809628398029;-0.750062917794832;4;0
1;"1970-01-01 00:00:02.600Z";-4.02349424652807;2.09149574820603;-0.62809628398029;-0.750062917794832;4;1
1;"1970-01-01 00:00:02.650Z";-4.05489906072709;2.05399260231629;-0.62809628398029;-0.750062917794832;4;1
1;"1970-01-01 00:00:02.700Z";-4.0863038749261;2.01648945642654;-0.62809628398029;-0.750062917794832;4;1
1;"1970-01-01 00:00:02.750Z";-4.11770868912512;1.9789863105368;-0.62809628398029;-0.750062917794832;4;1
1;"1970-01-01 00:00:02.800Z";-4.14911350332413;1.94148316464706;-0.62809628398029;-0.750062917794832;4;1
1;"1970-01-01 00:00:02.850Z";-4.18051831752315;1.90398001875732;-0.62809628398029;-0.750062917794832;4;1
1;"1970-01-01 00:00:02.900Z";-4.21192313172216;1.86647687286758;-0.62809628398029;-0.750062917794832;4;1
